Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
3DTK,http://threedtk.de,Science and medicine,"c/c++,ros,opencv,cmake,boost","robotics,3d,slam,mapping,point clouds",Surface Reconstruction Tool for 3DTK,https://summerofcode.withgoogle.com/archive/2018/projects/6459721275932672/
3DTK,http://threedtk.de,Science and medicine,"c/c++,ros,opencv,cmake,boost","robotics,3d,slam,mapping,point clouds",Replacing the glui GUI with a Qt5 GUI,https://summerofcode.withgoogle.com/archive/2018/projects/5666983458635776/
52° North Initiative for Geospatial Open Source Software GmbH,https://52north.org/,Science and medicine,"javascript,java,spring,r,big data","geoinformatics,sensor web,geoprocessing,remote sensing,geostatistics",Plain GPS-based Recording for enviroCar,https://summerofcode.withgoogle.com/archive/2018/projects/6457640095842304/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",Universal Space Operation Center GUI,https://summerofcode.withgoogle.com/archive/2018/projects/6383478224453632/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",Implementing Two-Line Element (TLE) Input / Output and using it for evaluation,https://summerofcode.withgoogle.com/archive/2018/projects/6415325138518016/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",[gsoc18-a-dd6] DirectDemod: Decoding of Automatic Picture Transmission (NOAA),https://summerofcode.withgoogle.com/archive/2018/projects/6687330249211904/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",Lone Pseudoranger: Orbit position data analysis and interpolation (3D),https://summerofcode.withgoogle.com/archive/2018/projects/5678807906254848/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations","Turning orbitdeterminator into a robust, reliable tool",https://summerofcode.withgoogle.com/archive/2018/projects/5574424229052416/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",visma - VISualMAth,https://summerofcode.withgoogle.com/archive/2018/projects/6099516126134272/
aimacode,http://github.com/aimacode,Programming languages,"python,javascript,java,jupyter,ai","education,machine learning,artificial intelligence",Online Collaborative Platform for AIMA-Exercises,https://summerofcode.withgoogle.com/archive/2018/projects/5665683559940096/
aimacode,http://github.com/aimacode,Programming languages,"python,javascript,java,jupyter,ai","education,machine learning,artificial intelligence","Knowledge, Reasoning and Learning",https://summerofcode.withgoogle.com/archive/2018/projects/5356711867056128/
aimacode,http://github.com/aimacode,Programming languages,"python,javascript,java,jupyter,ai","education,machine learning,artificial intelligence",Chapter 5,https://summerofcode.withgoogle.com/archive/2018/projects/5381580197462016/
aimacode,http://github.com/aimacode,Programming languages,"python,javascript,java,jupyter,ai","education,machine learning,artificial intelligence",Finish AIMA-Python algorithms and add explanatory notebooks,https://summerofcode.withgoogle.com/archive/2018/projects/6567364497768448/
aimacode,http://github.com/aimacode,Programming languages,"python,javascript,java,jupyter,ai","education,machine learning,artificial intelligence",Finish aima-python algorithms,https://summerofcode.withgoogle.com/archive/2018/projects/5762244625301504/
Amahi,http://www.amahi.org,Operating systems,"javascript,android,ruby on rails,golang,swift","web apps,media server,storage server,streaming,front-end",Backend Improvements and New Feature Additions,https://summerofcode.withgoogle.com/archive/2018/projects/6380140766429184/
Amahi,http://www.amahi.org,Operating systems,"javascript,android,ruby on rails,golang,swift","web apps,media server,storage server,streaming,front-end",Android App Imrovements,https://summerofcode.withgoogle.com/archive/2018/projects/6628335316631552/
Amahi,http://www.amahi.org,Operating systems,"javascript,android,ruby on rails,golang,swift","web apps,media server,storage server,streaming,front-end",Amahi Express Install Disc,https://summerofcode.withgoogle.com/archive/2018/projects/6132154052378624/
Amahi,http://www.amahi.org,Operating systems,"javascript,android,ruby on rails,golang,swift","web apps,media server,storage server,streaming,front-end",Gsoc Proposal: Amahi 11,https://summerofcode.withgoogle.com/archive/2018/projects/5124827589378048/
Amahi,http://www.amahi.org,Operating systems,"javascript,android,ruby on rails,golang,swift","web apps,media server,storage server,streaming,front-end",Amahi iOS App Improvements and new Features,https://summerofcode.withgoogle.com/archive/2018/projects/6264280198414336/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Crowd Alert Web,https://summerofcode.withgoogle.com/archive/2018/projects/6467399335280640/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",TRAINS EMISSION CALCULATION AND BETTER ERROR DETECTION,https://summerofcode.withgoogle.com/archive/2018/projects/5682446615969792/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",CarbonFootPrint-Mobile,https://summerofcode.withgoogle.com/archive/2018/projects/5003402689904640/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",GSoC Proposal for Stardroid (Google Sky Maps),https://summerofcode.withgoogle.com/archive/2018/projects/5005937190371328/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Google Assistant Action for CarbonFootPrint,https://summerofcode.withgoogle.com/archive/2018/projects/5039569938415616/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Improvement of CO2 emission API,https://summerofcode.withgoogle.com/archive/2018/projects/5096603815772160/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Rishabh Shukla's proposal,https://summerofcode.withgoogle.com/archive/2018/projects/5539053294321664/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Optimization of Mind The Word,https://summerofcode.withgoogle.com/archive/2018/projects/5544927601623040/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Crowd alert proposal for GSOC,https://summerofcode.withgoogle.com/archive/2018/projects/6234855713013760/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Agora web API and Frontend project,https://summerofcode.withgoogle.com/archive/2018/projects/4856686607073280/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Enhancing CarbonFootprint-Mobile,https://summerofcode.withgoogle.com/archive/2018/projects/5857761006977024/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Mereotopology in Computational philosophy,https://summerofcode.withgoogle.com/archive/2018/projects/5931710747246592/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,Web,"scala,isabelle proof assistant,browser extension,javascript/html5/css3,android/ios","environment,electronic voting,natural language processing,logic,philosophy",Extending the reach of CrowdAlert with improved features and functionality,https://summerofcode.withgoogle.com/archive/2018/projects/5203912365703168/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",GORA-535 Add a data store for Apache Ignite,https://summerofcode.withgoogle.com/archive/2018/projects/6380991102844928/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",MongoDB Output Connector for Apache ManifoldCF,https://summerofcode.withgoogle.com/archive/2018/projects/6680749151354880/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Support Groovy implementations in the  Netbeans IDE plugin,https://summerofcode.withgoogle.com/archive/2018/projects/5726348362383360/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Mapping Criminal Activity,https://summerofcode.withgoogle.com/archive/2018/projects/5397332929544192/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Integrate NextCloud for Apache Airavata's Data Transfer Use Cases,https://summerofcode.withgoogle.com/archive/2018/projects/5025640554168320/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Re-architect Output Data Parsing into Airavata core,https://summerofcode.withgoogle.com/archive/2018/projects/5293136083419136/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",[AIRAVATA-2717] [GSoC] Resurrect User-Defined Airavata Workflows,https://summerofcode.withgoogle.com/archive/2018/projects/5636168544681984/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Evolve DRAT web interface,https://summerofcode.withgoogle.com/archive/2018/projects/6199118498103296/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Apache Taverna CWL support proposal,https://summerofcode.withgoogle.com/archive/2018/projects/6202553398198272/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Fineract CN SMS & Email Notifications,https://summerofcode.withgoogle.com/archive/2018/projects/4548540353216512/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Writing Tests for Apache Taverna Mobile,https://summerofcode.withgoogle.com/archive/2018/projects/4680671263981568/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Fineract CN Mobile 2.0,https://summerofcode.withgoogle.com/archive/2018/projects/4686743341105152/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Implement RESTful API and web ui interface in Nemo,https://summerofcode.withgoogle.com/archive/2018/projects/4758094961704960/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Implementing integration plugins in RocketMQ for HBase and Beam,https://summerofcode.withgoogle.com/archive/2018/projects/4822558528503808/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Implement OGC Catalog Service for the Web(CSW),https://summerofcode.withgoogle.com/archive/2018/projects/6480593474813952/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",[COMDEV-254] Allura - Personal Dashboard,https://summerofcode.withgoogle.com/archive/2018/projects/6563917719404544/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",New Web UI For Apache Fineract CN,https://summerofcode.withgoogle.com/archive/2018/projects/4911608904024064/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Group Loan Management Service,https://summerofcode.withgoogle.com/archive/2018/projects/5836324221222912/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",Apache Beam: TPC-H Benchmark on Beam SQL,https://summerofcode.withgoogle.com/archive/2018/projects/6321528153047040/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",OpenID Connect Authentication Handler for Apache Sling,https://summerofcode.withgoogle.com/archive/2018/projects/5129417365913600/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",ANY23-295  Implement ability to use librdfa,https://summerofcode.withgoogle.com/archive/2018/projects/5137473516601344/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other",[SYSTEMML-2083] Language and runtime for parameter servers,https://summerofcode.withgoogle.com/archive/2018/projects/5148916517437440/
Apache Software Foundation,https://apache.org,Other,"c,java,erlang","big data,cloud,libraries,other","OpenWhisk performance improvement - work stealing, priority-based scheduling on load balancer and direct connection for streaming capabilities.",https://summerofcode.withgoogle.com/archive/2018/projects/5211013825691648/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Fra-oci/oci-fra translator,https://summerofcode.withgoogle.com/archive/2018/projects/5664530495438848/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Adoption of Guarani - Spanish pair,https://summerofcode.withgoogle.com/archive/2018/projects/5434804640153600/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Kannada-Marathi language translation,https://summerofcode.withgoogle.com/archive/2018/projects/6243685763121152/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Apertium translation pair for Kazakh and Sakha,https://summerofcode.withgoogle.com/archive/2018/projects/4877442304966656/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Bilingual dictionary enrichment via graph completion,https://summerofcode.withgoogle.com/archive/2018/projects/4905772915884032/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Adopting the unreleased Romanian-Catalan pair and upgrading other pairs to the monolingual module system,https://summerofcode.withgoogle.com/archive/2018/projects/4939485456367616/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Uyghur-Turkish MT,https://summerofcode.withgoogle.com/archive/2018/projects/5988796768190464/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Improving language pairs by mining MediaWiki Content Translation postedits,https://summerofcode.withgoogle.com/archive/2018/projects/5991569840668672/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Tatar and Bashkir: developing a language pair,https://summerofcode.withgoogle.com/archive/2018/projects/5173252473225216/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",Extend lttoolbox to have the power of HFST,https://summerofcode.withgoogle.com/archive/2018/projects/5193083880734720/
Apertium,http://www.apertium.org,Other,"python,c++,xml,fsts","natural language processing,machine translation,language technology,grammar",UD-Annotatrix,https://summerofcode.withgoogle.com/archive/2018/projects/5199294671880192/
Apertus Association,http://www.apertus.org,Media,"linux,c/c++,fpga,vhdl,embedded","vision,camera,digital imaging,cinematography,photography",Raw video container format,https://summerofcode.withgoogle.com/archive/2018/projects/6652532692615168/
Apertus Association,http://www.apertus.org,Media,"linux,c/c++,fpga,vhdl,embedded","vision,camera,digital imaging,cinematography,photography",OpenCine: Raw Image Debayering Methods,https://summerofcode.withgoogle.com/archive/2018/projects/6134301401808896/
Apertus Association,http://www.apertus.org,Media,"linux,c/c++,fpga,vhdl,embedded","vision,camera,digital imaging,cinematography,photography",FPGA-realtime focus peaking,https://summerofcode.withgoogle.com/archive/2018/projects/4996254656364544/
Apertus Association,http://www.apertus.org,Media,"linux,c/c++,fpga,vhdl,embedded","vision,camera,digital imaging,cinematography,photography","Google Summer of Code 2018: Live histogram, waveform, vectorscope",https://summerofcode.withgoogle.com/archive/2018/projects/6487202087305216/
appleseedhq,https://appleseedhq.net/,Media,"c/c++,qt","mathematics,graphics,physics,rendering,high performance",Embree Integration,https://summerofcode.withgoogle.com/archive/2018/projects/4810871519838208/
appleseedhq,https://appleseedhq.net/,Media,"c/c++,qt","mathematics,graphics,physics,rendering,high performance",Hair Rendering II - Hair shader and binary format,https://summerofcode.withgoogle.com/archive/2018/projects/4831516353888256/
appleseedhq,https://appleseedhq.net/,Media,"c/c++,qt","mathematics,graphics,physics,rendering,high performance",Adaptive image plane sampling proposal,https://summerofcode.withgoogle.com/archive/2018/projects/5797050771832832/
ArduPilot,http://ardupilot.org,End user applications,"python,linux,c/c++,drones,robotics","robotics,embedded systems,vision,real-time os,drones",Mapping and Planning for obstacle avoidance,https://summerofcode.withgoogle.com/archive/2018/projects/6600458764288000/
