Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
52°North Initiative for Geospatial Open Source Software GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web","earth observation,floating car data,ogc,web processing,sensorweb",Improve enviroCar Android User Interface & User Experience,https://summerofcode.withgoogle.com/archive/2019/projects/6188010670915584/
52°North Initiative for Geospatial Open Source Software GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web","earth observation,floating car data,ogc,web processing,sensorweb",WPS .NET Library & ArcGIS Pro Add-In,https://summerofcode.withgoogle.com/archive/2019/projects/5881826277588992/
AboutCode.org,https://aboutcode.org,Other,"python,javascript,nlp,automaton,search","package managers,license-scan,oss licensing,copyright,license compliance",Approximately Similar file detection in DeltaCode,https://summerofcode.withgoogle.com/archive/2019/projects/6338690152923136/
AboutCode.org,https://aboutcode.org,Other,"python,javascript,nlp,automaton,search","package managers,license-scan,oss licensing,copyright,license compliance",Packaging  and Docker Image Creation,https://summerofcode.withgoogle.com/archive/2019/projects/5455090473762816/
AboutCode.org,https://aboutcode.org,Other,"python,javascript,nlp,automaton,search","package managers,license-scan,oss licensing,copyright,license compliance",Port Scancode to Python 3,https://summerofcode.withgoogle.com/archive/2019/projects/5165116964732928/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",Ksat: Visualizing multi-dimensional evolution on system and subsystem level,https://summerofcode.withgoogle.com/archive/2019/projects/6650127358361600/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",Decoding of ADSB and Multi-Lateral positioning,https://summerofcode.withgoogle.com/archive/2019/projects/5747705790332928/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",OrbitDeterminator: Community Observation Input of many station locations.,https://summerofcode.withgoogle.com/archive/2019/projects/5044018348556288/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",VISual MAth: Refactoring Old Modules & Adding New Ones,https://summerofcode.withgoogle.com/archive/2019/projects/5346225803493376/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",OrbitDeterminator: Community Observation Input of Many Station Locations,https://summerofcode.withgoogle.com/archive/2019/projects/6243038328782848/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",DirectDemod Automatic Picture Transmission (NOAA) – BigImage and Globe Projection,https://summerofcode.withgoogle.com/archive/2019/projects/4823831749853184/
AerospaceResearch.net,http://www.aerospaceresearch.net,Science and medicine,"python,c/c++,java,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",MaaS (Molto-IT as a Service),https://summerofcode.withgoogle.com/archive/2019/projects/5949173310947328/
aimacode,https://github.com/aimacode,Programming languages,"python,javascript,java,machine learning,python 3","education,machine learning,artificial intelligence,open education",Python algorithm migration,https://summerofcode.withgoogle.com/archive/2019/projects/6368141548978176/
aimacode,https://github.com/aimacode,Programming languages,"python,javascript,java,machine learning,python 3","education,machine learning,artificial intelligence,open education",GSoC'19 Project Proposal for AIMA-java,https://summerofcode.withgoogle.com/archive/2019/projects/6160168897740800/
aimacode,https://github.com/aimacode,Programming languages,"python,javascript,java,machine learning,python 3","education,machine learning,artificial intelligence,open education",Perception - Early Image Processing Operations,https://summerofcode.withgoogle.com/archive/2019/projects/4616837277417472/
aimacode,https://github.com/aimacode,Programming languages,"python,javascript,java,machine learning,python 3","education,machine learning,artificial intelligence,open education",Interactive Exercises Platform for AIMACode,https://summerofcode.withgoogle.com/archive/2019/projects/5207711296258048/
Amahi,https://www.amahi.org,End user applications,"android,ruby on rails,golang,ios,containers","web apps,media server,storage server,streaming,backups",Enhancement to Amahi iOS Project,https://summerofcode.withgoogle.com/archive/2019/projects/6424463250292736/
Amahi,https://www.amahi.org,End user applications,"android,ruby on rails,golang,ios,containers","web apps,media server,storage server,streaming,backups",Amahi-Anywhere Improvements,https://summerofcode.withgoogle.com/archive/2019/projects/5424074568761344/
Amahi,https://www.amahi.org,End user applications,"android,ruby on rails,golang,ios,containers","web apps,media server,storage server,streaming,backups",To integrate Network-wide Ad-blocking in Amahi HDA and to develop a centralized SSL Certificate Management Interface for Amahi,https://summerofcode.withgoogle.com/archive/2019/projects/6142023113900032/
Amahi,https://www.amahi.org,End user applications,"android,ruby on rails,golang,ios,containers","web apps,media server,storage server,streaming,backups",Android App Improvements,https://summerofcode.withgoogle.com/archive/2019/projects/6203072802455552/
Amahi,https://www.amahi.org,End user applications,"android,ruby on rails,golang,ios,containers","web apps,media server,storage server,streaming,backups",Amahi 12 Improvements,https://summerofcode.withgoogle.com/archive/2019/projects/4517788570353664/
Amahi,https://www.amahi.org,End user applications,"android,ruby on rails,golang,ios,containers","web apps,media server,storage server,streaming,backups",Improved Installation and Home Automation using Hass,https://summerofcode.withgoogle.com/archive/2019/projects/4805016974524416/
Amahi,https://www.amahi.org,End user applications,"android,ruby on rails,golang,ios,containers","web apps,media server,storage server,streaming,backups",New iOS App Features,https://summerofcode.withgoogle.com/archive/2019/projects/5856010235805696/
Android Graphics Tools Team,https://github.com/google/graphicsfuzz,Programming languages,"c/c++,java,opengl,vulkan,spir-v","testing,bug finding,developer tools,debugging,2d/3d graphics",Improve Shading Language Support in GraphicsFuzz,https://summerofcode.withgoogle.com/archive/2019/projects/6377225270591488/
Android Graphics Tools Team,https://github.com/google/graphicsfuzz,Programming languages,"c/c++,java,opengl,vulkan,spir-v","testing,bug finding,developer tools,debugging,2d/3d graphics",Enhancing Metamorphic Testing Tools For Graphics Drivers,https://summerofcode.withgoogle.com/archive/2019/projects/6034777595969536/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Enhancing Carbon Assistant-Function with new functionalities and unit-testing,https://summerofcode.withgoogle.com/archive/2019/projects/6336338792546304/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Agora Vote Android Application- Mukul Kumar,https://summerofcode.withgoogle.com/archive/2019/projects/6477088008175616/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",GSoC 2019: Improving Mind The Word,https://summerofcode.withgoogle.com/archive/2019/projects/6658700247302144/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Starcross,https://summerofcode.withgoogle.com/archive/2019/projects/6753449423667200/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy","Adding SSR, CI/CD, Tests, Geohash, NSFW image classifier, and revamping Datastore and UX",https://summerofcode.withgoogle.com/archive/2019/projects/5680088375361536/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Aossie Scholar,https://summerofcode.withgoogle.com/archive/2019/projects/5426445390708736/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Carbonfootprint for IOS and UI improvements,https://summerofcode.withgoogle.com/archive/2019/projects/5532800340459520/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Crowdalert-Mobile,https://summerofcode.withgoogle.com/archive/2019/projects/6159029372452864/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Cruise Website integration and Improving DevOps,https://summerofcode.withgoogle.com/archive/2019/projects/5114126257356800/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy","Chrome Extension for Fake News , Click-Bait and Toxic Comment Detection using AI",https://summerofcode.withgoogle.com/archive/2019/projects/5283337080406016/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Fully featured production ready app for both iOS and Android,https://summerofcode.withgoogle.com/archive/2019/projects/5351188101332992/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Improving CarbonFootprint-API,https://summerofcode.withgoogle.com/archive/2019/projects/5362213500485632/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Origin Essentialism (Computational Metaphysics),https://summerofcode.withgoogle.com/archive/2019/projects/4584591686369280/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Agora-web Proposal GSOC 2019,https://summerofcode.withgoogle.com/archive/2019/projects/4648943768567808/
AOSSIE - Australian Open Source Software Innovation and Education,http://aossie.org/,End user applications,"javascript,android,scala,ios,isabelle proof assistant","machine learning,environment,electronic voting,natural language processing,philosophy",Carbon-footprint Alexa,https://summerofcode.withgoogle.com/archive/2019/projects/4799408770646016/
