Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
52°North Spatial Information Research GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,data analytics,Geoinformation",enviroCar App: Mapbox to MapLibre migration,https://summerofcode.withgoogle.com/archive/2024/projects/krHvyhrX/
52°North Spatial Information Research GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,data analytics,Geoinformation",Cloud-native OGC SensorThings API,https://summerofcode.withgoogle.com/archive/2024/projects/fHFlLaVM/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",VulnerableCode/Vulntotal: Browser Extension,https://summerofcode.withgoogle.com/archive/2024/projects/26FZNTGx/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",Add more data sources and mine the graph to find correlations between vulnerabilities,https://summerofcode.withgoogle.com/archive/2024/projects/O745WFKh/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",Enrich SBOM data based on OSSF Security Score Card,https://summerofcode.withgoogle.com/archive/2024/projects/kB8HkEli/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",Compute summary for all detected packages.,https://summerofcode.withgoogle.com/archive/2024/projects/JzMlDtnM/
Accord Project,https://accordproject.org,Programming languages,"python,javascript,json,react,artificial intelligence","natural language processing,data modeling,legal technology,contract management,document assembly",Alias Support: Enhancing Model Flexibility in Concerto,https://summerofcode.withgoogle.com/archive/2024/projects/7ZJTW2PX/
Accord Project,https://accordproject.org,Programming languages,"python,javascript,json,react,artificial intelligence","natural language processing,data modeling,legal technology,contract management,document assembly",Model Creation AI Assistant (Co-Pilot): Kshitij Pathania,https://summerofcode.withgoogle.com/archive/2024/projects/BFaXoqVC/
Accord Project,https://accordproject.org,Programming languages,"python,javascript,json,react,artificial intelligence","natural language processing,data modeling,legal technology,contract management,document assembly",ACCORD Project Template Playground,https://summerofcode.withgoogle.com/archive/2024/projects/iY7TZu99/
AFLplusplus,https://aflplus.plus,Security,"llvm,rust,fuzzing,qemu","fuzzing,ci",Adapt kAFL / Nyx to LibAFL QEMU,https://summerofcode.withgoogle.com/archive/2024/projects/iVGBslto/
AFLplusplus,https://aflplus.plus,Security,"llvm,rust,fuzzing,qemu","fuzzing,ci",Rewrite AFL++'s afl-fuzz in Rust as a front-end for LibAFL,https://summerofcode.withgoogle.com/archive/2024/projects/4tBXDbB9/
Alaska,https://www.uaa.alaska.edu/research,Science and medicine,"python,mysql,java,matlab,dicom","deep learning,neuroscience,radiology,heathcare,Polar Science",Telehealth over L4S,https://summerofcode.withgoogle.com/archive/2024/projects/g0nI3Rgc/
Alaska,https://www.uaa.alaska.edu/research,Science and medicine,"python,mysql,java,matlab,dicom","deep learning,neuroscience,radiology,heathcare,Polar Science",Automated coastline extraction for erosion modeling in Alaska.,https://summerofcode.withgoogle.com/archive/2024/projects/JokAsFio/
Alaska,https://www.uaa.alaska.edu/research,Science and medicine,"python,mysql,java,matlab,dicom","deep learning,neuroscience,radiology,heathcare,Polar Science",Adaptive Software-Defined Wide Area Network framework for Telehealth Access (AWANTA),https://summerofcode.withgoogle.com/archive/2024/projects/0GUHhUhb/
Alaska,https://www.uaa.alaska.edu/research,Science and medicine,"python,mysql,java,matlab,dicom","deep learning,neuroscience,radiology,heathcare,Polar Science",Forest Fire Tracking from Aerial Images and Measuring its Severity/Intensity.,https://summerofcode.withgoogle.com/archive/2024/projects/aTdHTFqR/
AnkiDroid,https://github.com/ankidroid/Anki-Android,End user applications,"android,rust,kotlin,mobile","education,mobile,android,user generated content,Flashcards",Instant Add Note Editor & Multimedia UI/UX,https://summerofcode.withgoogle.com/archive/2024/projects/HHr5HsjN/
AnkiDroid,https://github.com/ankidroid/Anki-Android,End user applications,"android,rust,kotlin,mobile","education,mobile,android,user generated content,Flashcards",Tablet & Chromebook UI,https://summerofcode.withgoogle.com/archive/2024/projects/8VnbDJ2l/
AnkiDroid,https://github.com/ankidroid/Anki-Android,End user applications,"android,rust,kotlin,mobile","education,mobile,android,user generated content,Flashcards",Additional Widgets,https://summerofcode.withgoogle.com/archive/2024/projects/w1n3pqnM/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Peer to Peer Messaging Application (Open Peer Chat),https://summerofcode.withgoogle.com/archive/2024/projects/2XpZfsab/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Resonate Version 2 Proposal,https://summerofcode.withgoogle.com/archive/2024/projects/ZXcKoGmy/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",PictoPy,https://summerofcode.withgoogle.com/archive/2024/projects/ZxUxLG3y/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",social street smart,https://summerofcode.withgoogle.com/archive/2024/projects/qWFwEpsQ/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Creating a blockchain based community funding platform,https://summerofcode.withgoogle.com/archive/2024/projects/BTi5ly6d/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Djed for EVM Blockchains,https://summerofcode.withgoogle.com/archive/2024/projects/AthhdF8W/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Monumento Web/Desktop,https://summerofcode.withgoogle.com/archive/2024/projects/6N1WI4Te/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",PictoPy,https://summerofcode.withgoogle.com/archive/2024/projects/H96bNe6J/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Redesigning and Enhancing the UI/UX of the Resonate App,https://summerofcode.withgoogle.com/archive/2024/projects/FUdwA6fJ/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",EduAid:Refactoring and Publishing EduAid,https://summerofcode.withgoogle.com/archive/2024/projects/tnijgajk/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Aossie-DjedAlliance: Implementing a StablePay widget,https://summerofcode.withgoogle.com/archive/2024/projects/pjtcgZ9T/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",EduAid AI Quiz Generator: Enhancement & Publishing,https://summerofcode.withgoogle.com/archive/2024/projects/QqOzEuv0/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Resonate UI,https://summerofcode.withgoogle.com/archive/2024/projects/uhg6KdKq/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Roshan Singh - Agora Blockchain,https://summerofcode.withgoogle.com/archive/2024/projects/Z41EMoNZ/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",PictoPy,https://summerofcode.withgoogle.com/archive/2024/projects/c0SV4qJ7/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Social Street Smart,https://summerofcode.withgoogle.com/archive/2024/projects/73pPzJxi/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",Agora Library Improvement,https://summerofcode.withgoogle.com/archive/2024/projects/GaM1V5Pf/
AOSSIE,https://www.aossie.org,End user applications,"python,javascript,android,flutter,Blockchain","web,machine learning,natural language processing,mobile,backend",monumento,https://summerofcode.withgoogle.com/archive/2024/projects/54jsoOFK/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other","OVFS, OpenDAL File System via Virtio",https://summerofcode.withgoogle.com/archive/2024/projects/SprO8wOO/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Building Rich User Interfaces for Airavata Services,https://summerofcode.withgoogle.com/archive/2024/projects/TXAWwjun/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Support for Aggregate Engines in Apache UIMA CPP,https://summerofcode.withgoogle.com/archive/2024/projects/gMqxBugf/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Dubbo - Python integration & AI Traffic Management,https://summerofcode.withgoogle.com/archive/2024/projects/PxEnkiBZ/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Optimization of the Query Subsystem in BanyanDB,https://summerofcode.withgoogle.com/archive/2024/projects/eIOi0A44/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Apache SkyWalking - BanyanDB Cluster Monitoring,https://summerofcode.withgoogle.com/archive/2024/projects/s31z2duw/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Apache OpenDAL Ofs via CloudFilter Project Proposal,https://summerofcode.withgoogle.com/archive/2024/projects/LL5vQ6HN/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Proposal for Unified IDL,https://summerofcode.withgoogle.com/archive/2024/projects/d7xCkgQ1/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Support Memory Management Module For Apache HugeGraph,https://summerofcode.withgoogle.com/archive/2024/projects/GhIkUpuq/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",mnemofs: An Apache NuttX NAND Flash Filesystem,https://summerofcode.withgoogle.com/archive/2024/projects/JISwnjR5/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Implement Jupyter Extension and Desktop App for Airavata MFT,https://summerofcode.withgoogle.com/archive/2024/projects/wp8QUxkw/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",[GORA-709] Upgrade Hadoop dependencies in Apache Gora,https://summerofcode.withgoogle.com/archive/2024/projects/3HQFL9H1/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other","Traffic Management for Dubbo-go and Dubbo-k8s, feature enhancement and demonstration",https://summerofcode.withgoogle.com/archive/2024/projects/plyDlESx/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",OpenDAL FTP Server (oftp),https://summerofcode.withgoogle.com/archive/2024/projects/RBW1uuxq/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Runze's Proposal for [SS] Scan and create issues for classes that have not implemented unit tests,https://summerofcode.withgoogle.com/archive/2024/projects/CsAwI4xc/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Build out Beam Yaml features,https://summerofcode.withgoogle.com/archive/2024/projects/KePyLXdR/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Build out Beam Use Cases - Implement semantic search pipelines,https://summerofcode.withgoogle.com/archive/2024/projects/bOmqicBe/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Optimizing Lock Mechanisms in Apache RocketMQ,https://summerofcode.withgoogle.com/archive/2024/projects/rAINlqkW/
Apache Software Foundation,https://apache.org,Web,"c,java,c++","big data,cloud,libraries,other",Apache NuttX Apps and Rust Integration,https://summerofcode.withgoogle.com/archive/2024/projects/6XD00y5S/
