Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
52°North Spatial Information Research GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,data analytics,Geoinformation",UI for the Arctic Sea settings API (Faroe),https://summerofcode.withgoogle.com/archive/2022/projects/WQzKOHGd/
52°North Spatial Information Research GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,data analytics,Geoinformation",enviroCar Platform Independent App: Add UI for Data Privacy Settings/Control,https://summerofcode.withgoogle.com/archive/2022/projects/QCfTIgri/
52°North Spatial Information Research GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,data analytics,Geoinformation",enviroCar App: Voice Command,https://summerofcode.withgoogle.com/archive/2022/projects/xXN12jAU/
52°North Spatial Information Research GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,data analytics,Geoinformation","enviroCar App: New Features, Improvements and Bug Fixing",https://summerofcode.withgoogle.com/archive/2022/projects/3c3ZgCs1/
52°North Spatial Information Research GmbH,https://52north.org/,Science and medicine,"javascript,android,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,data analytics,Geoinformation",Python client for OGC Maps API,https://summerofcode.withgoogle.com/archive/2022/projects/WQM9F5qd/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",Scancode.io/Scancode Toolkit: Create web application to scan and review a single license text,https://summerofcode.withgoogle.com/archive/2022/projects/qLGnC87T/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",Scancode Workbench improvements,https://summerofcode.withgoogle.com/archive/2022/projects/UHXR7kXp/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",Cross-validate vulnerability coverage of VulnerableCode. VulnTotal Project!,https://summerofcode.withgoogle.com/archive/2022/projects/8ICEBzfO/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",Extending license detection to use licenses external to ScanCode Toolkit,https://summerofcode.withgoogle.com/archive/2022/projects/e2m1eokW/
AboutCode,https://aboutcode.org,Security,"python,javascript,Django+PostgreSQL,C/Rust/Go","dependencies,vulnerabilities,SoftwareCompositionAnalysis,License,SBOM",Add more data sources and mine the graph to find correlations between vulnerabilities,https://summerofcode.withgoogle.com/archive/2022/projects/7d7Sxtqo/
Academy Software Foundation,https://www.aswf.io/,Media,"c,python,opengl,c++,rust","graphics,media,animation,Visual Effects,Film",N/A,N/A
AFLplusplus,https://aflplus.plus,Security,"llvm,rust,fuzzing,qemu","fuzzing,ci",bridge Nyx to LibAFL,https://summerofcode.withgoogle.com/archive/2022/projects/L9MXXYvq/
AnkiDroid,https://github.com/ankidroid/Anki-Android,End user applications,"android,java,rust,kotlin,mobile","education,mobile,android,user generated content,Flashcards",Improve Card Browser,https://summerofcode.withgoogle.com/archive/2022/projects/Szuxr74f/
AnkiDroid,https://github.com/ankidroid/Anki-Android,End user applications,"android,java,rust,kotlin,mobile","education,mobile,android,user generated content,Flashcards",CSV Importer and Improve Preferences UI/UX,https://summerofcode.withgoogle.com/archive/2022/projects/C9pmMeIt/
AnkiDroid,https://github.com/ankidroid/Anki-Android,End user applications,"android,java,rust,kotlin,mobile","education,mobile,android,user generated content,Flashcards",Migrate AsyncTask to Kotlin Coroutines,https://summerofcode.withgoogle.com/archive/2022/projects/XLPJsm8o/
AOSSIE,https://aossie.gitlab.io/,End user applications,"python,javascript,machine learning,scala,Blockchain","machine learning,electronic voting,natural language processing,social science",Proposal for P2P Messaging App in Flutter,https://summerofcode.withgoogle.com/archive/2022/projects/p7PXL1OM/
AOSSIE,https://aossie.gitlab.io/,End user applications,"python,javascript,machine learning,scala,Blockchain","machine learning,electronic voting,natural language processing,social science",Improving the AOSSIE Scholar Extension,https://summerofcode.withgoogle.com/archive/2022/projects/tfWkLOvU/
AOSSIE,https://aossie.gitlab.io/,End user applications,"python,javascript,machine learning,scala,Blockchain","machine learning,electronic voting,natural language processing,social science",Agora Vote iOS app,https://summerofcode.withgoogle.com/archive/2022/projects/hWNu77nz/
AOSSIE,https://aossie.gitlab.io/,End user applications,"python,javascript,machine learning,scala,Blockchain","machine learning,electronic voting,natural language processing,social science",Refine Architecture to Improve Extensibility,https://summerofcode.withgoogle.com/archive/2022/projects/0RUIkWHR/
