Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
GeomScale,https://geomscale.github.io,Science and medicine,"python,c++,r,jupyter,github-actions","mathematics,data science,computational biology,computational geometry,statistics",Support exponential sampling from the space of steady states of a metabolic network,https://summerofcode.withgoogle.com/programs/2023/projects/FHAnvNUp
GeomScale,https://geomscale.github.io,Science and medicine,"python,c++,r,jupyter,github-actions","mathematics,data science,computational biology,computational geometry,statistics",Memory allocation in facet redundancy removal in dingo,https://summerofcode.withgoogle.com/programs/2023/projects/g3A99uhs
GeomScale,https://geomscale.github.io,Science and medicine,"python,c++,r,jupyter,github-actions","mathematics,data science,computational biology,computational geometry,statistics",Move R Interface of Volesti to a New Repository,https://summerofcode.withgoogle.com/programs/2023/projects/Ju6SPJP1
FreeCAD,https://freecad.org,End user applications,"python,c++,qt,OpenCASCADE,OpenInventor","engineering,graphics,cad,architecture,CAM",UI tool for fetching online content,https://summerofcode.withgoogle.com/programs/2023/projects/h7rrw0s0
FreeCAD,https://freecad.org,End user applications,"python,c++,qt,OpenCASCADE,OpenInventor","engineering,graphics,cad,architecture,CAM",Upgrade the documentation system to git-based system,https://summerofcode.withgoogle.com/programs/2023/projects/iPaw5Jd9
FreeCAD,https://freecad.org,End user applications,"python,c++,qt,OpenCASCADE,OpenInventor","engineering,graphics,cad,architecture,CAM",Unified Measurement Facility,https://summerofcode.withgoogle.com/programs/2023/projects/w0LSLLQE
FreeCAD,https://freecad.org,End user applications,"python,c++,qt,OpenCASCADE,OpenInventor","engineering,graphics,cad,architecture,CAM",On-machine Inspection for FreeCAD,https://summerofcode.withgoogle.com/programs/2023/projects/gqlTqNAb
Open Genome Informatics,http://gmod.org/wiki/GSoC,Science and medicine,"python,react,r-project,graph,angular","genomics,bioinformatics,cloud,biology,data discovery",Improved Continuous Integration for Reactome,https://summerofcode.withgoogle.com/programs/2023/projects/FNZtunYS
libssh,https://www.libssh.org/,Programming languages,"c,ci,ssh","security,cryptography",Support for OpenSSH connection multiplexing,https://summerofcode.withgoogle.com/programs/2023/projects/GdK87jbe
libssh,https://www.libssh.org/,Programming languages,"c,ci,ssh","security,cryptography",Async SFTP Client,https://summerofcode.withgoogle.com/programs/2023/projects/CdkiroFH
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",Make GNOME platform demos and create offline documentation viewer for Workbench,https://summerofcode.withgoogle.com/programs/2023/projects/AYtTvdlp
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",Rust and GTK 4 Bustle Rewrite,https://summerofcode.withgoogle.com/programs/2023/projects/EfijCNWY
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",Create a New “System” panel in GNOME Settings,https://summerofcode.withgoogle.com/programs/2023/projects/2Pu11u94
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",Implement backlog search in Polari IRC client,https://summerofcode.withgoogle.com/programs/2023/projects/qkIYWKmU
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",Integrate GNOME Network Displays features into GNOME Settings,https://summerofcode.withgoogle.com/programs/2023/projects/MKxaR231
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",GNOME Crosswords Anagram Support,https://summerofcode.withgoogle.com/programs/2023/projects/d2r0Q6TA
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",Make GNOME Platform Demos for Workbench,https://summerofcode.withgoogle.com/programs/2023/projects/3Bjrr6So
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",Add Acrostic Puzzles to GNOME Crosswords,https://summerofcode.withgoogle.com/programs/2023/projects/Dj3YZXU4
GNOME Foundation,https://gnome.org,Operating systems,"c,linux,rust,gtk,Flatpak","operating systems,desktop,graphics,open source,apps",Flatpak synching between machines,https://summerofcode.withgoogle.com/programs/2023/projects/NZ9FuzQL
Mantis,https://netflix.github.io/mantis/,Data,"java,Rxjava,Akka,Netty","cloud,distributed systems,Operational Analytics",Refactor Metrics Interface/Implementation in Mantis,https://summerofcode.withgoogle.com/programs/2023/projects/t0aEL7iA
Mantis,https://netflix.github.io/mantis/,Data,"java,Rxjava,Akka,Netty","cloud,distributed systems,Operational Analytics",Mantis Connection Monitor,https://summerofcode.withgoogle.com/programs/2023/projects/AV5mJy6s
JdeRobot,http://jderobot.github.io,Other,"python,ros,gazebo,opencv,tensorflow","education,artificial intelligence,robotics,computer vision,developer tools",Obstacle Avoidance for Autonomous Driving in CARLA Using Segmentation Deep Learning Models,https://summerofcode.withgoogle.com/programs/2023/projects/n26Ayew7
JdeRobot,http://jderobot.github.io,Other,"python,ros,gazebo,opencv,tensorflow","education,artificial intelligence,robotics,computer vision,developer tools",Robotics Academy: Migration to ROS2 Humble,https://summerofcode.withgoogle.com/programs/2023/projects/4YgccDJg
JdeRobot,http://jderobot.github.io,Other,"python,ros,gazebo,opencv,tensorflow","education,artificial intelligence,robotics,computer vision,developer tools",Cross-Platform Robotics Learning Made Easy,https://summerofcode.withgoogle.com/programs/2023/projects/Wt3Vki1i
JdeRobot,http://jderobot.github.io,Other,"python,ros,gazebo,opencv,tensorflow","education,artificial intelligence,robotics,computer vision,developer tools",Dockerization of Visual Circuit,https://summerofcode.withgoogle.com/programs/2023/projects/SPqrs4g7
The Tor Project,https://www.torproject.org/,Web,"c,python,web,rust","security,privacy,anti-censorship,Human Rights,Surveillance",The Tor Network Status API,https://summerofcode.withgoogle.com/programs/2023/projects/9Jt0KtWV
The Tor Project,https://www.torproject.org/,Web,"c,python,web,rust","security,privacy,anti-censorship,Human Rights,Surveillance",eRPC : An efficient Relay Partition Checker,https://summerofcode.withgoogle.com/programs/2023/projects/1EXXf3b5
The Tor Project,https://www.torproject.org/,Web,"c,python,web,rust","security,privacy,anti-censorship,Human Rights,Surveillance",Arti API exploration to build example tools,https://summerofcode.withgoogle.com/programs/2023/projects/UXQdBvLj
The Tor Project,https://www.torproject.org/,Web,"c,python,web,rust","security,privacy,anti-censorship,Human Rights,Surveillance",Tor’s SnowFlake: Revitalising Snowflake's Landing Page for a Better User Experience,https://summerofcode.withgoogle.com/programs/2023/projects/zQRvTgia
