Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
52°North Initiative for Geospatial Open Source Software GmbH,http://52north.org/,Science and medicine,"javascript,java,web services,ogc standards","geoinformatics,sensor web,web-based geoprocessing,spatial data,earth observation",Terrain Model Generation and Analysis,https://summerofcode.withgoogle.com/archive/2016/projects/6383180932186112/
52°North Initiative for Geospatial Open Source Software GmbH,http://52north.org/,Science and medicine,"javascript,java,web services,ogc standards","geoinformatics,sensor web,web-based geoprocessing,spatial data,earth observation",Usability improvements for smle,https://summerofcode.withgoogle.com/archive/2016/projects/6208761773424640/
52°North Initiative for Geospatial Open Source Software GmbH,http://52north.org/,Science and medicine,"javascript,java,web services,ogc standards","geoinformatics,sensor web,web-based geoprocessing,spatial data,earth observation",Visual Analytics of EnviroCar Tracks,https://summerofcode.withgoogle.com/archive/2016/projects/4801686195404800/
aimacode,https://github.com/aimacode/,Programming languages,"python,javascript,java","education,artificial intelligence",Implementation of Module on Logic (Chapters 7 – 9) for 4th Edition,https://summerofcode.withgoogle.com/archive/2016/projects/5695589685657600/
aimacode,https://github.com/aimacode/,Programming languages,"python,javascript,java","education,artificial intelligence",Python Implementations & Visualization of Algorithms in AIMA 4th Edition.,https://summerofcode.withgoogle.com/archive/2016/projects/5724681378201600/
aimacode,https://github.com/aimacode/,Programming languages,"python,javascript,java","education,artificial intelligence",‘aima-python’ code to accompany the book “AI: A Modern Approach”,https://summerofcode.withgoogle.com/archive/2016/projects/5450837216198656/
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu,Science and medicine,"python,postgresql,llvm,scala,lisp","privacy,health,logic,live programming,data analysis",Implementation of theorem prover based on Skeptik's data structures and Conflict Resolution algorithm,https://summerofcode.withgoogle.com/archive/2016/projects/6674954703601664/
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu,Science and medicine,"python,postgresql,llvm,scala,lisp","privacy,health,logic,live programming,data analysis",Local Community Detection Search Using a Conceptual View,https://summerofcode.withgoogle.com/archive/2016/projects/5515055835643904/
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu,Science and medicine,"python,postgresql,llvm,scala,lisp","privacy,health,logic,live programming,data analysis",Dynamic Network Analysis in Rogas,https://summerofcode.withgoogle.com/archive/2016/projects/5092347436072960/
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu,Science and medicine,"python,postgresql,llvm,scala,lisp","privacy,health,logic,live programming,data analysis",Parsers implementation and extension of proof compression algorithms from propositional to first-order logic,https://summerofcode.withgoogle.com/archive/2016/projects/5643440998055936/
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu,Science and medicine,"python,postgresql,llvm,scala,lisp","privacy,health,logic,live programming,data analysis",Private medical data comparison functions for similar patient matching,https://summerofcode.withgoogle.com/archive/2016/projects/6232264908210176/
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu,Science and medicine,"python,postgresql,llvm,scala,lisp","privacy,health,logic,live programming,data analysis",Extempore - Live coding with simulation codes,https://summerofcode.withgoogle.com/archive/2016/projects/4715014292242432/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Mapping between the GeoTIFF metadata to ISO 19115,https://summerofcode.withgoogle.com/archive/2016/projects/6447441695997952/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Apache Hama benchmark against Spark and Flink,https://summerofcode.withgoogle.com/archive/2016/projects/6604885264957440/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Running Docker from Apache Taverna,https://summerofcode.withgoogle.com/archive/2016/projects/6625717198520320/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Improving Discussion Threads and UI/UX of Apache Allura,https://summerofcode.withgoogle.com/archive/2016/projects/6641326720286720/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Notebooks for Weather Data Analytics,https://summerofcode.withgoogle.com/archive/2016/projects/6665478663569408/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",White Box and Regression Testing of the Mynewt OS,https://summerofcode.withgoogle.com/archive/2016/projects/6741911901569024/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Port core OS and a subset of the utilities to a new 32-bit microcontroller,https://summerofcode.withgoogle.com/archive/2016/projects/5683813690638336/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",TAVERNA-880 Browse+use CWL tool descriptions,https://summerofcode.withgoogle.com/archive/2016/projects/5397810476220416/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Apache Cassandra: Make streaming operations resumable,https://summerofcode.withgoogle.com/archive/2016/projects/5429448547500032/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Apache SYNCOPE-809,https://summerofcode.withgoogle.com/archive/2016/projects/5478022748569600/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Add MongoDB to Tajo Storage,https://summerofcode.withgoogle.com/archive/2016/projects/5515426813444096/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Predicting Criminal Moments with Hidden Markov Models,https://summerofcode.withgoogle.com/archive/2016/projects/6146525818257408/
Apache Software Foundation,http://www.apache.org,Other,"python,javascript,java,ruby,couchdb","web,database,cloud,ddd,dsl",Nuxeo repository and Authority connector for Apache ManifoldCF,https://summerofcode.withgoogle.com/archive/2016/projects/5250916420681728/
