Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
52°North GmbH,https://52north.org/,Science and medicine,"python,javascript,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,geoinformation systems",Improving User experience in enviroCar Android,https://summerofcode.withgoogle.com/archive/2021/projects/4566982376030208/
52°North GmbH,https://52north.org/,Science and medicine,"python,javascript,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,geoinformation systems",enviroCar Platform Independent App,https://summerofcode.withgoogle.com/archive/2021/projects/6531614133190656/
52°North GmbH,https://52north.org/,Science and medicine,"python,javascript,java,web services,ogc standards","citizen science,spatial information infrastructures,open standards,geoinformation systems",Groundwork for platform independent app,https://summerofcode.withgoogle.com/archive/2021/projects/5918625763950592/
AboutCode,https://www.aboutcode.org,Other,"python,javascript,django,postgres","software composition analysis,software packages,scanning",Integration of Alternate Code Analysis Tools,https://summerofcode.withgoogle.com/archive/2021/projects/6414766964211712/
AboutCode,https://www.aboutcode.org,Other,"python,javascript,django,postgres","software composition analysis,software packages,scanning",Integrate VirtualCodebase with Deltacode,https://summerofcode.withgoogle.com/archive/2021/projects/6580434925780992/
AboutCode,https://www.aboutcode.org,Other,"python,javascript,django,postgres","software composition analysis,software packages,scanning",Detect Unknown Licenses and Indirect License references in ScanCode,https://summerofcode.withgoogle.com/archive/2021/projects/6229596998991872/
AboutCode,https://www.aboutcode.org,Other,"python,javascript,django,postgres","software composition analysis,software packages,scanning",VulnerableCode importers refactoring and addition,https://summerofcode.withgoogle.com/archive/2021/projects/6286057699540992/
Accord Project,https://www.accordproject.org/,Programming languages,"javascript,react,compiler,ocaml,coq","compilers,ai,legal,smart contracts,blockchain",CiceroMark<->OOXML,https://summerofcode.withgoogle.com/archive/2021/projects/6365179587067904/
Accord Project,https://www.accordproject.org/,Programming languages,"javascript,react,compiler,ocaml,coq","compilers,ai,legal,smart contracts,blockchain",Automatic Identification And Classification of Contract Data Types with NLP,https://summerofcode.withgoogle.com/archive/2021/projects/5699091228524544/
Accord Project,https://www.accordproject.org/,Programming languages,"javascript,react,compiler,ocaml,coq","compilers,ai,legal,smart contracts,blockchain",Signing Template and Signing Contracts,https://summerofcode.withgoogle.com/archive/2021/projects/4719780132552704/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,machine learning,sdr,sqlite,raspberry pi","space applications,signal processing,software defined radio,cubesats,simulations",CalibrateSDR,https://summerofcode.withgoogle.com/archive/2021/projects/6331354941227008/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,machine learning,sdr,sqlite,raspberry pi","space applications,signal processing,software defined radio,cubesats,simulations",Development of an FDIR algorithm using Neural networks,https://summerofcode.withgoogle.com/archive/2021/projects/6171036227207168/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,machine learning,sdr,sqlite,raspberry pi","space applications,signal processing,software defined radio,cubesats,simulations",Python GUI Visualisation for MOLTO-3BP Engine,https://summerofcode.withgoogle.com/archive/2021/projects/5061006694285312/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,machine learning,sdr,sqlite,raspberry pi","space applications,signal processing,software defined radio,cubesats,simulations",Calibrate SDR enhancement,https://summerofcode.withgoogle.com/archive/2021/projects/6238241459535872/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,machine learning,sdr,sqlite,raspberry pi","space applications,signal processing,software defined radio,cubesats,simulations",Implementation of the data analysis compilation interface in a satellite monitoring simulator,https://summerofcode.withgoogle.com/archive/2021/projects/6491447599038464/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,machine learning,sdr,sqlite,raspberry pi","space applications,signal processing,software defined radio,cubesats,simulations",Center of Satellite Signal in the Frequency Domain,https://summerofcode.withgoogle.com/archive/2021/projects/6052985896960000/
AFLplusplus,https://aflplus.plus,Security,"c/c++,llvm,rust,fuzzing,instrumentation","fuzzing,secure development,instrumentation",Scheduler for LibAFL,https://summerofcode.withgoogle.com/archive/2021/projects/6509647623618560/
AFLplusplus,https://aflplus.plus,Security,"c/c++,llvm,rust,fuzzing,instrumentation","fuzzing,secure development,instrumentation",Hydra - Hybrid Fuzzing with LibAFL,https://summerofcode.withgoogle.com/archive/2021/projects/6266317660749824/
Android Graphics Tools Team,https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2021.md,Programming languages,"java,opengl,c++,spir-v,webgpu","bug finding,developer tools,graphics,fuzzing",Diversity transformation class space and implement Coverage-guided mutation-based fuzzing for WebGPU,https://summerofcode.withgoogle.com/archive/2021/projects/5538790298353664/
Android Graphics Tools Team,https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2021.md,Programming languages,"java,opengl,c++,spir-v,webgpu","bug finding,developer tools,graphics,fuzzing",Coverage-guided mutation-based fuzzing for WebGPU,https://summerofcode.withgoogle.com/archive/2021/projects/5988176115531776/
Android Graphics Tools Team,https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2021.md,Programming languages,"java,opengl,c++,spir-v,webgpu","bug finding,developer tools,graphics,fuzzing",Improving support for compute shaders in spirv-fuzz,https://summerofcode.withgoogle.com/archive/2021/projects/5133242306396160/
AnkiDroid,https://docs.ankidroid.org/,End user applications,"javascript,android,java,gradle","education,android,user generated content,flashcard",Development of AnkiDroid project,https://summerofcode.withgoogle.com/archive/2021/projects/5701531810136064/
AnkiDroid,https://docs.ankidroid.org/,End user applications,"javascript,android,java,gradle","education,android,user generated content,flashcard","""Migrating to Scoped Storage"" By Farjad Ilyas, 2021",https://summerofcode.withgoogle.com/archive/2021/projects/4622107475968000/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Agora-Web,https://summerofcode.withgoogle.com/archive/2021/projects/6332902538739712/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Proposal for Monumento,https://summerofcode.withgoogle.com/archive/2021/projects/5720603411087360/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Improving User Experience Of Frontend and Enabling User Personalisation,https://summerofcode.withgoogle.com/archive/2021/projects/6135869907402752/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Final Step Towards Deployment,https://summerofcode.withgoogle.com/archive/2021/projects/5364873650765824/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Agora Blockchain,https://summerofcode.withgoogle.com/archive/2021/projects/5613292646563840/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Peer to Peer Message Transfer,https://summerofcode.withgoogle.com/archive/2021/projects/6564736920977408/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Slagora API and Admin Dashboard,https://summerofcode.withgoogle.com/archive/2021/projects/6044114272911360/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Monumento iOS application,https://summerofcode.withgoogle.com/archive/2021/projects/4857773539459072/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Peer-to-Peer Message Transfer,https://summerofcode.withgoogle.com/archive/2021/projects/4858942777196544/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",P2P Messaging App,https://summerofcode.withgoogle.com/archive/2021/projects/5758182428770304/
AOSSIE,https://aossie.gitlab.io/,End user applications,"javascript,android,machine learning,scala,ios","machine learning,electronic voting,natural language processing,social science",Agora Android,https://summerofcode.withgoogle.com/archive/2021/projects/5949543790673920/
